	PLAYER_ID	PLAYER_NAME	TEAM_ID	TEAM_ABBREVIATION	AGE	NICKNAME	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT	FGM	FGA	FG_PCT
0	203932	Aaron Gordon	1610612743	DEN	26.0	Aaron	3.8	5.3	0.714	0.3	0.9	0.354	0.3	0.8	0.339	0.2	0.6	0.375	0.6	1.8	0.343	0.6	1.7	0.349	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
1	1630565	Aaron Henry	1610612755	PHI	22.0	Aaron	0.2	0.2	1.0	0.0	0.2	0.0	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0						
2	1628988	Aaron Holiday	1610612756	PHX	25.0	Aaron	0.9	1.6	0.554	0.5	1.0	0.475	0.3	0.8	0.423	0.1	0.3	0.2	0.2	0.5	0.433	0.4	1.2	0.375	0.0	0.1	0.25	0.0	0.0	0.0	0.0	0.0	0.0
3	1630174	Aaron Nesmith	1610612738	BOS	22.0	Aaron	0.5	0.7	0.73	0.1	0.3	0.429	0.0	0.1	0.167	0.1	0.1	0.667	0.4	1.2	0.313	0.3	1.0	0.245	0.0	0.1	0.5	0.0	0.0	0.0	0.0	0.0	0.0
4	1630598	Aaron Wiggins	1610612760	OKC	23.0	Aaron	1.7	2.8	0.63	0.5	1.1	0.446	0.1	0.1	0.5	0.0	0.0	0.5	0.5	1.4	0.353	0.4	1.4	0.257	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5	1627846	Abdel Nader	1610612756	PHX	28.0	Abdel	0.6	1.1	0.5	0.0	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.2	0.2	0.5	0.429	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.1	0.0
6	1630278	Ade Murkey	1610612758	SAC	24.0	Ade	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0				0.0	0.0	0.0												
7	1629678	Admiral Schofield	1610612753	ORL	25.0	Admiral	0.4	0.9	0.5	0.3	0.4	0.643	0.0	0.1	0.5	0.0	0.0	1.0	0.4	1.2	0.31	0.4	0.9	0.389	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
8	1629958	Ahmad Caver	1610612754	IND	25.0	Ahmad	1.0	1.0	1.0				0.0	0.0	0.0	0.0	0.0	0.0										0.0	0.0	0.0			
9	201143	Al Horford	1610612738	BOS	36.0	Al	1.5	2.1	0.697	0.7	1.3	0.505	0.2	0.5	0.5	0.2	0.4	0.462	0.6	1.5	0.394	0.7	2.4	0.29	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10	202692	Alec Burks	1610612752	NYK	30.0	Alec	0.7	1.6	0.421	0.3	1.0	0.321	0.3	0.9	0.347	0.2	0.5	0.429	0.8	2.0	0.41	1.1	2.9	0.394	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
11	1630758	Aleem Ford	1610612753	ORL	24.0	Aleem	0.6	0.6	1.0	0.2	0.4	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.4	0.143	0.2	1.6	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
12	1630197	Alekesej Pokusevski	1610612760	OKC	20.0	Alekesej	1.5	2.4	0.608	0.3	0.9	0.375	0.1	0.4	0.32	0.2	0.4	0.417	0.3	1.1	0.292	0.6	2.2	0.277	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13	1627936	Alex Caruso	1610612741	CHI	28.0	Alex	1.0	2.0	0.512	0.2	0.5	0.429	0.1	0.2	0.444	0.1	0.4	0.313	0.6	1.6	0.369	0.4	1.5	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
14	203458	Alex Len	1610612758	SAC	29.0	Alex	1.7	2.5	0.677	0.3	0.9	0.361	0.3	0.6	0.455	0.0	0.0	0.0	0.1	0.4	0.286	0.1	0.2	0.286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	1628035	Alfonzo McKinnie	1610612741	CHI	29.0	Alfonzo	0.7	1.3	0.545	0.1	0.2	0.333	0.0	0.3	0.0	0.1	0.2	0.667	0.3	0.8	0.357	0.3	0.9	0.267	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
16	1628993	Alize Johnson	1610612740	NOP	26.0	Alize	0.6	1.2	0.519	0.1	0.4	0.333	0.0	0.1	0.5	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
17	1630578	Alperen Sengun	1610612745	HOU	19.0	Alperen	2.6	4.4	0.599	0.3	0.9	0.343	0.1	0.3	0.3	0.0	0.1	0.4	0.1	0.2	0.267	0.4	1.3	0.268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
18	1629599	Amir Coffey	1610612746	LAC	25.0	Amir	1.2	1.8	0.667	0.2	0.5	0.406	0.2	0.5	0.379	0.1	0.4	0.333	0.6	1.6	0.381	0.8	2.3	0.374	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
19	203083	Andre Drummond	1610612751	BKN	28.0	Andre	3.0	5.1	0.594	0.3	0.6	0.5	0.0	0.1	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
20	2738	Andre Iguodala	1610612744	GSW	38.0	Andre	0.8	1.1	0.743	0.0	0.1	0.25	0.0	0.1	0.0	0.1	0.1	0.667	0.3	1.2	0.25	0.3	1.2	0.222	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
