Player	G	team	W	cor_WL_GmSc	cor_margin_GmSc	cor_WL_MP	cor_margin_MP	cor_WL_USG	cor_margin_USG	cor_WL_ORtg	cor_margin_ORtg	cor_WL_DRtg	cor_margin_DRtg	cor_WL_BPM	cor_margin_BPM	cor_GmSc_BPM	PTS_sd	MP_sd	GmSc	GmSc_sd	USG_sd	ORtg	ORtg_sd	DRtg	DRtg_sd	BPM_log	BPM_sd	GmSc_diff	MP_diff	GmSc_diff_abs	MP_diff_abs	Season	Age	Tm	Lg	Pos	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	X1.x	FT%	ORB	DRB	TRB	X2.x	STL	BLK	TOV	PF	PTS	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	X1.y	OWS	DWS	WS	WS/48	X2.y	OBPM	DBPM	BPM	VORP
Lonzo Ball	35	CHI	22	0.338217845426104	0.476803330289583	0.0974766354086503	0.0677351541102666	-0.0826639085924092	-0.222907078465615	0.32694559558473	0.507968892954057	-0.511113741469728	-0.727300718099055	0.375176483513143	0.583425088702137	0.950443628883958	5.70861062729958	3.98857659204704	11.8342857142857	7.12121696709467	4.18040245740555	108.657142857143	35.8821132379375	108.857142857143	15.1252474109912	2.31142857142857	7.79538971702737	-0.0764705882352941	-0.287254901960784	9.06470588235294	3.50686274509804	2021-22	24	CHI	NBA	PG	35	34.6	4.6	10.9	0.423	3.1	7.4	0.423	1.5	3.5	0.423	0.567	0.6	0.8	0.75	1	4.4	5.4	5.1	1.8	0.9	2.3	2.4	13	14.5	0.575	0.679	0.073	3.3	14.3	8.8	20	2.6	2.2	17.2	17.4	NA	0.8	1.4	2.2	0.088	NA	0.9	1.6	2.5	1.4
Jaylen Brown	66	BOS	43	0.177822636858577	0.372127139158318	-0.236441041518538	-0.315688886916077	-0.0433646300096936	0.0892492157701592	0.319487964539232	0.581655533872494	-0.469365558876402	-0.615272653258499	0.205834573669405	0.452254177580491	0.864931363780387	8.18397148561683	6.34470108594423	15.9121212121212	8.33896350599476	5.37712521004259	109.257575757576	24.2628621598211	107.530303030303	12.7523387863617	1.86969696969697	8.68673559465092	-0.401538461538462	-0.352564102564103	9.10923076923077	5.64435897435897	2021-22	25	BOS	NBA	SF	66	33.6	8.7	18.4	0.473	2.5	7	0.358	6.2	11.4	0.544	0.541	3.7	4.8	0.758	0.8	5.3	6.1	3.5	1.1	0.3	2.7	2.5	23.6	18.9	0.574	0.381	0.261	2.6	16.7	9.8	17.9	1.6	0.7	11.6	30.5	NA	2.3	3.4	5.8	0.124	NA	1.9	0.1	2.1	2.2
Bruno Fernando	30	BOS_HOU	15	-0.40390676989857	-0.198745067057395	-0.391848421695496	-0.200204578182884	-0.220376478882313	-0.213927593683102	-0.207396602320997	0.0479156700117636	-0.559203050727128	-0.647799539096695	-0.0550441697112587	0.186230261860591	0.444863623088958	4.75563791241753	5.73779411358674	2.46666666666667	4.34799464940613	15.8918865296498	76.3333333333333	74.5424356500623	110.9	18.0064164808759	-3.46	15.151797435197	0.358620689655172	0.598850574712644	3.42758620689655	3.61609195402299	2021-22	23	TOT	NBA	C	0	5.1	1.2	1.8	0.655	0	0.1	0.5	1.2	1.8	0.66	0.664	0.5	0.8	0.625	0.6	1.2	1.8	0.2	0	0.4	0.5	0.8	2.9	21.2	0.671	0.036	0.436	13	26.6	19.8	7.5	0.3	6.5	17.6	22.4	NA	0.2	0.2	0.4	0.14	NA	-0.4	0.2	-0.1	0.1
Malik Fitts	15	UTA_BOS	13	0.158214664020532	0.458129059421866	-0.622854205490453	-0.368690416198701	-0.275354335509909	-0.13744221542055	0.0930180353627111	0.392464869909983	-0.422935451260756	-0.48509880502802	0.26027112635479	0.534658541717017	0.752771142192449	2.5298221281347	5.11691483809507	1.11333333333333	2.72864871493635	10.7881328098893	53.0666666666667	102.862228710242	108.4	14.4953194416089	-2.40666666666667	22.6862597391545	0.557142857142857	0.533333333333333	2.38571428571429	4.34761904761905	2021-22	24	TOT	NBA	PF	0	4.2	0.5	1.3	0.421	0.3	0.7	0.5	0.2	0.6	0.333	0.553	0	0	NA	0.1	1	1.1	0.3	0	0	0.1	0.3	1.4	10.7	0.553	0.526	0	3.5	25.2	14.7	12.7	0	0	9.5	14.6	NA	0.1	0.1	0.1	0.097	NA	-0.6	-0.5	-1.1	0
Enes Freedom	35	BOS	20	0.108517077515026	-0.0353943716652396	0.0261175968797849	0.0337189046003324	-0.0319564457962763	-0.105896208353758	0.153273779346401	-0.0515329823158996	-0.603336032751213	-0.695845234619187	0.0788549207685868	-0.0659556782365562	0.644425114255632	3.57230241410426	7.93008578164207	3.85428571428571	4.32614098225189	8.98196886578229	115.114285714286	75.5621175817974	106.885714285714	15.7979362549659	-3.12285714285714	13.0424439633765	0.197058823529412	0.197549019607843	5.22058823529412	7.29166666666667	2021-22	29	BOS	NBA	C	1	11.7	1.5	2.8	0.526	0.1	0.1	0.4	1.4	2.6	0.533	0.536	0.7	0.8	0.857	1.7	2.8	4.6	0.2	0.1	0.4	0.6	1.2	3.7	15	0.585	0.052	0.289	16.5	25.4	21	2.7	0.6	3.1	15.5	13.9	NA	0.6	0.7	1.4	0.16	NA	-1.2	-0.2	-1.4	0.1
Sam Hauser	26	BOS	20	-0.409893873431114	-0.0336052526483966	-0.465999088612089	-0.097128469709011	0.0536581012485871	-0.029576281827599	-0.186569979465784	0.00297825483235259	-0.266570635434366	-0.369000229879472	-0.138975864749285	0.0658317819023857	0.548069481802514	3.30151480384384	5.15521758765509	2.09615384615385	3.41203525998554	13.626149069401	108.269230769231	113.460674312224	110.230769230769	13.4857189420741	-1.06153846153846	26.3720318052755	0.2	0.352	3.32	4.91733333333333	2021-22	24	BOS	NBA	SF	0	6.1	0.9	1.9	0.46	0.7	1.7	0.432	0.2	0.2	0.667	0.65	0	0	NA	0.2	0.9	1.1	0.4	0	0.1	0.1	0.3	2.5	14.8	0.65	0.88	0	3.5	16	9.9	9.1	0.3	1.2	3.8	14.5	NA	0.4	0.2	0.6	0.171	NA	2.7	-0.3	2.3	0.2
Juancho Hernangómez	40	BOS_SAS_UTA	20	-0.0706189820149734	0.107334767807883	-0.0767344596754011	0.0781574187076382	0.0745340299457317	-0.0496364588943981	-0.272122363210955	-0.113072762447739	-0.562287787000933	-0.539157931284149	-0.0875050708985513	0.0568362018068625	0.592568280005169	4.59089120447022	9.55753249277382	2.965	4.30226833432235	14.5727122495331	77.95	71.0831762706053	110.825	22.0185091136921	-5.44	15.2770113871489	0.476923076923077	0.707692307692308	2.94358974358974	5.58547008547009	2021-22	26	TOT	NBA	PF	9	11.1	1.1	2.7	0.415	0.6	1.7	0.348	0.5	0.9	0.541	0.528	0.5	0.9	0.559	0.7	1.8	2.5	0.5	0.4	0.3	0.4	0.6	3.3	11.5	0.542	0.651	0.321	7	17.1	12.2	6	1.6	2	11.7	13.4	NA	0.3	0.6	0.9	0.095	NA	-0.7	0.1	-0.6	0.2
Al Horford	69	BOS	46	-0.0315711398801398	-0.0687938445195947	-0.0944391642934268	-0.157731889713777	-0.154631017267214	-0.0525428159921174	0.249211324504649	0.155103403870431	-0.403512867948235	-0.473798546127142	0.0600104843513381	-0.0136777188598172	0.847129733245569	4.85260145030113	5.23587631185601	11.0739130434783	5.49319504622372	4.78661550362463	124.130434782609	35.4163941115835	103.811594202899	13.9170603749487	4.08115942028985	6.58836486369362	-0.00147058823529413	-0.0134803921568628	5.46029411764706	5.3968137254902	2021-22	35	BOS	NBA	C	69	29.1	3.9	8.2	0.467	1.3	3.8	0.336	2.6	4.4	0.582	0.546	1.2	1.4	0.842	1.6	6.1	7.7	3.4	0.7	1.3	0.9	1.9	10.2	16.7	0.574	0.466	0.167	6	22.2	14.3	16.4	1.2	4.2	9.6	14.8	NA	3.7	3.8	7.6	0.181	NA	1.4	2.9	4.3	3.2
Justin Jackson	7	BOS_PHO	6	-0.529111614127396	-0.38573162198799	-0.473762919816286	-0.232621832827688	0.300919227412349	0.0851129123015735	-0.706403586957968	-0.551683983577897	-0.628148634537008	-0.742766467039586	-0.279800722327219	-0.000980125030032052	0.71180627521726	3.18478525851542	3.62109121499329	1.17142857142857	3.52406691466658	24.7438496446712	83.2857142857143	102.19542436873	112.571428571429	15.0427960926722	-11.3714285714286	35.7295729186955	-0.4	-0.125	3.56666666666667	5.76944444444444	2021-22	26	TOT	NBA	SF	0	5.3	0.7	2.1	0.333	0.4	1.3	0.333	0.3	0.9	0.333	0.433	0.3	0.3	1	0.1	0.9	1	0.3	0	0	0.1	0.4	2.1	7.7	0.472	0.6	0.133	3	16.9	10.1	7.1	0	0	5.9	19.7	NA	0	0	0	0.032	NA	-2.2	-1.1	-3.3	0
Joe Johnson	1	BOS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	1.7	NA	NA	200	NA	115	NA	15	NA	NA	NA	NA	NA	2021-22	40	BOS	NBA	SG	0	2	1	1	1	0	0	NA	1	1	1	1	0	0	NA	0	0	0	0	0	0	0	0	2	38.7	1	0	0	0	0	0	0	0	0	0	22	NA	0	0	0	0.335	NA	12.1	2.8	15	0
Luke Kornet	15	CLE_MIL_BOS	11	-0.107050229082711	0.116219753959007	-0.258992560179959	0.128791197114708	0.416084206714508	0.516261148066609	-0.215176871832364	-0.00250061740572472	-0.474452059168229	-0.656902540418259	-0.138014244698786	-0.0053194262152694	0.540351516327049	3.02371578407382	5.18832506028843	2.48	3.3235523164229	9.9609810188125	105.2	95.1466537209045	110.266666666667	18.7253329807001	-1.84	18.2714375069787	0.692857142857143	0.804761904761905	2.77857142857143	4.98095238095238	2021-22	26	TOT	NBA	C	0	6.9	0.9	1.8	0.481	0	0.3	0	0.9	1.5	0.591	0.481	0.3	0.4	0.667	0.9	1.1	1.9	0.6	0.2	0.2	0	0.6	2	16.6	0.506	0.185	0.222	14	16.4	15.2	12.4	1.4	2.6	0	12.7	NA	0.2	0.2	0.4	0.194	NA	-0.9	0.4	-0.5	0
Romeo Langford	48	BOS_SAS	24	-0.0220815764059127	-0.0847138526825584	-0.258700198316734	-0.328371275532356	0.248209634885004	0.261601789080305	0.138095999308287	0.0931748210908112	-0.550330297297312	-0.653701302454019	0.104921648430063	0.127809683150325	0.524524695300233	3.90285402027108	8.20747546698582	3.4875	3.62313047903123	6.7773294260303	100.083333333333	60.3732480326691	108.75	12.6246971735327	-1.07083333333333	11.8791961604496	-0.129787234042553	-0.256028368794326	3.93829787234043	8.15106382978723	2021-22	22	TOT	NBA	SG	5	16.1	1.7	4	0.435	0.6	1.8	0.341	1.1	2.2	0.509	0.51	0.5	0.9	0.548	0.6	1.6	2.3	0.4	0.5	0.3	0.3	1	4.5	9.2	0.52	0.445	0.22	4.3	10.7	7.6	3.7	1.4	1.9	7.1	12.9	NA	0.3	1	1.3	0.082	NA	-2.3	1	-1.4	0.1
Kelan Martin	30	IND_BOS	14	0.380210657062259	0.374399754613039	-0.0893770052733786	0.098410593899534	0.0512943349722273	-0.0450846774448089	0.212777349149396	0.307342346424846	-0.383818481272284	-0.538292500178298	0.250362229840156	0.356516021359981	0.733416458511819	4.34026854405148	7.93633272206699	3.55333333333333	4.01323099117229	7.38385626440096	91.3666666666667	52.0168960172016	113.233333333333	12.6182225463765	-6.26	11.5740673266902	-0.303448275862069	-0.398850574712644	4.82758620689655	7.35402298850575	2021-22	26	TOT	NBA	SF	1	15	2.3	5.7	0.409	0.7	2.5	0.293	1.6	3.2	0.5	0.474	0.3	0.4	0.692	0.6	1.3	1.8	0.7	0.4	0.3	0.5	1.2	5.7	9.4	0.484	0.439	0.076	4.1	9.6	6.8	6.7	1.4	1.7	7.3	18.1	NA	-0.1	0.2	0	0.005	NA	-2.6	-1	-3.6	-0.2
C.J. Miles	1	BOS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	-0.4	NA	NA	0	NA	114	NA	-16.3	NA	NA	NA	NA	NA	2021-22	34	BOS	NBA	SG	0	2	0	0	NA	0	0	NA	0	0	NA	NA	0	0	NA	0	0	0	0	0	0	0	1	0	-7.8	NA	NA	NA	0	0	0	0	0	0	NA	0	NA	0	0	0	0.03	NA	-16.3	0	-16.3	0
Juwan Morgan	2	TOR_BOS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3.53553390593274	16.7937860531805	2.6	3.67695526217005	3.11126983722081	87.5	123.743686707646	129	18.3847763108502	-6.65	0.919238815542512	-5.2	-23.75	5.2	23.75	2021-22	24	TOT	NBA	PF	0	15.5	1	1.5	0.667	0.5	1	0.5	0.5	0.5	1	0.833	0	0	NA	1	1	2	0.5	0	0	0	1.5	2.5	8.3	0.833	0.667	0	6.6	7.4	7	4.2	0	0	0	4.1	NA	0.1	0	0.1	0.124	NA	-3.3	-3.9	-7.1	0
Aaron Nesmith	52	BOS	32	0.062535118244647	0.305678288753528	-0.121810909467227	0.0553949361120631	0.106710125488674	0.107282164706011	0.17174727125292	0.299283446224945	-0.488016793917828	-0.534216175860593	0.0889528743134475	0.203421205356898	0.744464064420595	4.41306164948689	7.53395416577817	2.07692307692308	4.17328644579697	10.2919236080309	83.3269230769231	71.0072410430301	108.826923076923	14.6778760469241	-5.04615384615385	16.2778504812396	0.0470588235294118	0.0888888888888889	4.16470588235294	7.93137254901961	2021-22	22	BOS	NBA	SF	3	11	1.4	3.5	0.396	0.6	2.2	0.27	0.8	1.3	0.612	0.481	0.4	0.5	0.808	0.3	1.4	1.7	0.4	0.4	0.1	0.6	1.3	3.8	7.3	0.507	0.632	0.143	2.9	13.6	8.4	5.4	1.7	0.8	13.8	17.2	NA	-0.4	0.9	0.4	0.038	NA	-4.9	0.7	-4.3	-0.3
Jabari Parker	12	BOS	4	-0.215620626689186	-0.310597601208795	-0.293595905206626	-0.310242350764182	-0.489463349014567	-0.528798307074921	-0.600807835351198	-0.657926976668321	0.0615471249906245	0.0410165849784943	-0.50238187498099	-0.458123114436142	0.676133848023962	3.84845502255205	5.06599543666492	3.30833333333333	3.62502873551829	8.82703749335477	94.5	70.9897559831378	108.416666666667	12.9997086214432	0.108333333333333	15.3747406974931	-1.12727272727273	-0.937878787878788	3.36363636363636	5.65606060606061	2021-22	26	BOS	NBA	PF	0	9.3	1.5	3.2	0.474	0.7	1.3	0.5	0.8	1.8	0.455	0.579	0.8	0.8	1	0.4	1.9	2.3	0.5	0.3	0.1	0.7	1.1	4.4	14.8	0.632	0.421	0.237	5	21.7	13.5	7.9	1.8	0.8	16	19.6	NA	0.1	0.2	0.3	0.141	NA	-0.4	1.1	0.7	0.1
Payton Pritchard	71	BOS	46	0.0279579171201775	0.179953149201237	-0.240082224659908	-0.110024378252294	-0.0690147180232118	-0.0136659531976444	0.0819223574663136	0.241389154119067	-0.41797532615479	-0.597038389346561	0.130904699665615	0.241432628077733	0.711674547197819	5.99570604230011	8.2902231318119	5.05633802816901	6.06379731084094	13.2447032805548	104.140845070423	61.4543490904655	111.676056338028	11.4464899771406	-1.7169014084507	17.917573065214	0.158571428571429	0.0585714285714286	5.09857142857143	5.71619047619048	2021-22	24	BOS	NBA	PG	2	14.1	2.3	5.3	0.429	1.4	3.5	0.412	0.8	1.8	0.461	0.564	0.3	0.3	1	0.5	1.4	1.9	2	0.4	0.1	0.6	0.9	6.2	15	0.578	0.657	0.056	3.5	10.8	7.2	20.4	1.2	0.5	9.7	18.6	NA	1.8	1.2	3.1	0.148	NA	1.7	0.1	1.8	1
Josh Richardson	65	BOS_SAS	38	0.214702235404223	0.0595896180739856	0.147807816396213	0.0166134899701628	0.0418880445403849	0.0423238814753689	0.0547163936498493	-0.0669976678288973	-0.533830472823194	-0.634456208234553	0.183204006781564	-0.0015546775228718	0.847241489069379	6.43241490720721	7.07920310391914	7.65692307692308	5.57393401329935	5.84709411719913	108.923076923077	38.4814515758517	110.830769230769	14.1195445557404	-0.846153846153846	7.46253301757932	0.0359375	0.116145833333333	6.6265625	6.74479166666667	2021-22	28	TOT	NBA	SG	7	24.6	3.6	8.2	0.438	1.6	3.8	0.415	2	4.4	0.458	0.534	1.5	1.7	0.889	0.6	2.2	2.8	1.8	0.9	0.4	1	1.8	10.2	12.8	0.573	0.461	0.202	2.8	9.4	6.2	10.1	1.7	1.6	10.2	17.6	NA	1.6	2	3.5	0.106	NA	-0.6	0.7	0.1	0.9
Matt Ryan	1	BOS	1	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	0.9	NA	NA	74	NA	99	NA	-13.7	NA	NA	NA	NA	NA	2021-22	24	BOS	NBA	SF	0	5	1	5	0.2	1	5	0.2	0	0	NA	0.3	0	0	NA	0	0	0	0	1	0	0	0	3	3.5	0.3	1	0	0	0	0	0	9.9	0	0	44	NA	0	0	0	-0.25	NA	-9.9	-3.8	-13.7	0
Dennis Schröder	64	BOS_HOU	32	0.0945756259454157	0.109290285721225	-0.165676085898274	-0.165642149453127	0.237093543273233	0.20115980331158	0.123240655220377	0.142907214899364	-0.595439757773481	-0.721321673421575	0.0609045137076506	0.110756341331559	0.866754877389535	8.10433880953175	7.46190248539199	9.58125	7.39338775796877	5.44006279689187	102.4375	28.113079484383	111.46875	13.6474531027029	-2.6578125	8.24861324925071	0.0587301587301587	-0.0531746031746032	7.7031746031746	5.88068783068783	2021-22	28	TOT	NBA	PG,SG	29	28.7	4.9	11.3	0.431	1.3	3.9	0.344	3.5	7.4	0.477	0.49	2.5	2.9	0.853	0.5	2.8	3.3	4.6	0.8	0.1	2.2	2.4	13.5	13	0.539	0.345	0.254	2	10.5	6.3	24.2	1.4	0.4	15.1	22.6	NA	1	1.9	2.9	0.076	NA	-1.5	-0.4	-1.9	0
Marcus Smart	71	BOS	47	-0.00534034085457575	-0.0179430052869844	-0.35034170663518	-0.571172769998403	-0.137913945993429	-0.0882075171278653	0.216171335570694	0.256165067698651	-0.406889043474656	-0.480465245703513	0.0704908122842132	0.126932552382259	0.834162249626542	6.66961034943419	5.47500217183321	10.730985915493	5.93143180857698	5.83322130772952	110.985915492958	29.9158309536924	107.577464788732	13.5706216004921	0.469014084507042	6.87283662688113	-0.0942857142857143	-0.286428571428571	7.28285714285714	5.10595238095238	2021-22	27	BOS	NBA	PG	71	32.3	4.2	10.1	0.418	1.7	5.1	0.331	2.5	5	0.506	0.501	2	2.5	0.793	0.6	3.2	3.8	5.9	1.7	0.3	2.2	2.3	12.1	13.6	0.54	0.501	0.249	2	10.5	6.4	25.6	2.6	0.7	16.6	18.3	NA	1.9	3.7	5.6	0.116	NA	-1.2	1.7	0.5	1.5
Nik Stauskas	8	MIA_BOS	7	-0.284890643330839	-0.296652276027719	-0.729471677214321	-0.702572576571034	0.21769517323159	-0.0922130591115704	-0.0520916263642177	-0.0400131588450438	-0.379529549985754	-0.370164049762796	-0.040496429835568	0.174557853383343	0.732209557068376	2.37546987833084	4.47858606425294	1.3375	2.35792735862906	12.4357778779042	106.5	104.715942298337	117.25	7.18629648308899	-6.275	28.6858725806674	-0.3	-1.0547619047619	2.72857142857143	2.80238095238095	2021-22	28	TOT	NBA	SG	0	4.9	0.6	1.8	.357	0.5	1.3	.400	0.1	0.5	.250	.500	0.5	0.8	.667	0.1	0.3	0.4	0.3	0.0	0.0	0.1	0.1	2.3	10.5	0.541	0.714	0.429	3	5.7	4.4	7.3	0	0	5.7	20	NA	0	0	0.1	0.078	NA	-0.9	-2.7	-3.6	0
Jayson Tatum	76	BOS	49	0.342421631635001	0.360969137266481	-0.284742828866788	-0.416370081383175	0.0736959387944839	-0.0479354862554275	0.410053034462214	0.546483050054822	-0.488384662981077	-0.5705505592835	0.360481104476188	0.444601298064959	0.899074343693013	8.72507980157544	4.16375675582009	19.4736842105263	9.23721990530416	4.28112134843197	113.302631578947	24.7138394356102	107.026315789474	12.8799313499315	5.12763157894737	9.33924477580795	0.248	-0.247555555555556	9.53866666666667	4.72488888888889	2021-22	23	BOS	NBA	SF	76	35.9	9.3	20.6	0.453	3	8.6	0.353	6.3	12	0.524	0.526	5.3	6.2	0.853	1.1	6.9	8	4.4	1	0.6	2.9	2.3	26.9	21.8	0.578	0.416	0.3	3.5	20.2	12.1	21.1	1.4	1.6	10.9	32.1	NA	5	4.6	9.6	0.169	NA	4.3	0.6	4.9	4.8
Daniel Theis	47	HOU_BOS	20	-0.123286457891905	0.0552041949889141	-0.408662140911634	-0.22331629077559	-0.0963418611450757	-0.211099441697939	0.238334291867612	0.397750789062829	-0.283307491257684	-0.570630035622886	0.0610003040903411	0.208445983117547	0.763311766911788	5.16812618021427	7.69269856846668	6.45744680851064	5.23905669740564	5.38534259760853	116.446808510638	46.0041626238692	112.425531914894	12.2078817748333	-2.28936170212766	8.69053042966516	0.106521739130435	0.115217391304348	5.69782608695652	6.70507246376812	2021-22	29	TOT	NBA	C	27	20.8	3.2	6.2	0.519	0.7	2.3	0.308	2.5	3.9	0.641	0.576	1	1.5	0.681	1.3	3.6	4.9	0.9	0.4	0.7	1	2.4	8.2	13.2	0.595	0.368	0.247	6.6	18.8	12.7	6.3	1	2.9	12.5	16.2	NA	0.9	1	1.9	0.093	NA	-1.9	-0.2	-2.1	0
Brodric Thomas	12	BOS	8	0.348639293315419	0.529894787262752	-0.0872135153075149	0.27326038443166	0.347950429405361	0.0587581503297008	0.605627920629807	0.732867935051253	-0.505868279433539	-0.74031400183289	0.210963837499429	0.475234340960474	0.818020172485444	1.95982373975546	4.19885822022313	1.26666666666667	2.04776300712102	19.6514553397375	73.9166666666667	59.6527197175198	112.25	11.3147128674451	-10.1416666666667	18.8461454141078	0.390909090909091	0.606060606060606	1.80909090909091	4.37272727272727	2021-22	25	BOS	NBA	SG	0	5	0.7	1.5	0.444	0.2	0.8	0.222	0.5	0.8	0.667	0.5	0.3	0.4	0.6	0.2	0.7	0.8	0.9	0.1	0.1	0.5	0.6	1.8	10	0.52	0.5	0.278	3.7	14.1	9	26	0.8	1.5	22.9	19.2	NA	0	0.1	0.1	0.052	NA	-3.6	0.8	-2.8	0
Derrick White	75	SAS_BOS	40	0.121659186639592	0.0413265643769111	-0.200940887831958	-0.161503710514358	-0.124911423734783	-0.223596504653201	0.362273341469069	0.318370448204492	-0.402289381436044	-0.50780506343947	0.184976583646788	0.0843498328519724	0.855190435880035	6.02600969073174	5.66176258382101	10.94	5.79438218146377	4.94705299479734	114.413333333333	28.5544020051878	112.586666666667	12.2707004726743	0.725333333333333	6.89271243304729	-0.0635135135135135	-0.140990990990991	5.9527027027027	6.86081081081081	2021-22	27	TOT	NBA	SG	52	29.3	4.5	10.7	0.421	1.5	4.9	0.312	3	5.7	0.515	0.493	2.7	3.1	0.864	0.5	3	3.5	4.9	0.9	0.8	1.6	2.3	13.2	14.8	0.549	0.461	0.294	1.8	10.7	6.3	22.9	1.4	2.3	11.6	19.9	NA	2.8	2.3	5.1	0.111	NA	0.4	0.6	0.9	1.6
Grant Williams	77	BOS	49	0.219957827735666	0.257748701846079	0.0350646039270404	0.0858949860810597	-0.0439970266523902	-0.0121148975087299	0.345940002803321	0.354974957547666	-0.457575025781314	-0.542234723441892	0.26598900230468	0.273816441147767	0.767105194827981	5.16752835331328	7.48446387745463	6.25844155844156	4.89683976096482	4.25612822619166	117.402597402597	41.8899748527584	109.662337662338	12.5578769467932	-0.925974025974026	7.00566317153492	-0.101315789473684	-0.156578947368421	5.23026315789474	7.65789473684211	2021-22	23	BOS	NBA	PF	21	24.4	2.7	5.6	0.475	1.4	3.4	0.411	1.3	2.3	0.569	0.597	1.1	1.2	0.905	0.8	2.7	3.6	1	0.5	0.7	0.8	2.4	7.8	11.2	0.635	0.597	0.22	3.8	11.8	7.9	5.7	1	2.8	11.6	12.6	NA	2.4	2.6	5.1	0.13	NA	-1.4	1.1	-0.4	0.8
Robert Williams	61	BOS	40	0.105389319478501	0.0933269615757695	-0.0619327255611127	-0.168766440878842	-0.120295065724555	-0.164751899441783	0.0813520437630876	0.214181369334041	-0.516016301437277	-0.65189329181874	0.254465282398316	0.296601085099778	0.851869236021101	3.95148170314291	6.60772240989783	13.7065573770492	5.78929670030419	3.72122842400283	151.114754098361	38.6631169465404	102.72131147541	14.2830098923406	4.99180327868852	6.86698126500933	-0.155	-0.350555555555556	6.275	6.24444444444444	2021-22	24	BOS	NBA	C	61	29.6	4.4	6	0.736	0	0	0	4.4	6	0.738	0.736	1.1	1.5	0.722	3.9	5.7	9.6	2	0.9	2.2	1	2.2	10	22.1	0.745	0.003	0.245	14.6	20.5	17.6	9.7	1.5	6.8	13.4	11.5	NA	6	3.9	9.9	0.262	NA	2.4	3.1	5.5	3.4
Charles Bassey	23	PHI	11	-0.327441063645244	-0.353753260663354	-0.0823506856228802	-0.246977101275688	-0.162015260382869	-0.202948629761571	-0.339593454205778	-0.179239810829912	-0.570783645120799	-0.576190318333763	-0.58103740070261	-0.408317857889792	0.48624956898742	3.76587548676509	5.78322122888011	3.27391304347826	4.51524864827301	12.5407604209936	125.521739130435	78.8127063851194	108.260869565217	18.3778952976972	2.35652173913043	14.9216689928974	0.136363636363636	0.226515151515151	4.64545454545455	4.49015151515152	2021-22	21	PHI	NBA	C	0	7.3	1.3	2	0.638	0	0.2	0	1.3	1.9	0.698	0.638	0.4	0.5	0.75	1	1.7	2.7	0.3	0.2	0.7	0.3	1.4	3	21.5	0.66	0.085	0.255	14.9	26.1	20.6	6.5	1.5	9.1	13.3	16.1	NA	0.4	0.3	0.8	0.22	NA	-0.4	2.1	1.7	0.2
Charlie Brown Jr.	22	DAL_PHI	16	-0.281344679249838	-0.344879907082755	-0.134665644968678	-0.0362945331423038	-0.24547922006151	-0.451640227132813	-0.237430356790293	-0.340780926963539	-0.184257064302863	-0.428120941493349	-0.241227021755085	-0.197597115053128	0.360330482841429	2.08270553311368	8.94084862023869	1.19545454545455	2.42358987429554	10.2867217820667	40.8181818181818	50.1973594103803	110.272727272727	14.3798199147006	-13.4818181818182	32.0419165404383	-0.104761904761905	-0.342857142857143	2.43809523809524	6.26031746031746	2021-22	24	TOT	NBA	SG	2	8	0.5	1.8	0.256	0	0.5	0.083	0.4	1.2	0.333	0.269	0.4	0.5	0.9	0.6	0.8	1.5	0.3	0.5	0.2	0.2	0.8	1.4	6.5	0.346	0.308	0.256	9	11.2	10.1	4.5	2.8	2	10.3	12.3	NA	-0.2	0.2	0	0.012	NA	-5.2	0.4	-4.8	-0.1
Willie Cauley-Stein	20	DAL_PHI	12	-0.118554415030249	-0.175490598816031	-0.319023967064016	-0.510170835683659	-0.656713756231519	-0.477953432440437	0.000240292601557434	0.0616820931826731	-0.444925423362332	-0.426600341646801	0.244631845642888	0.193038257185603	0.685448596139875	2.27341616353706	4.80529823027368	1.66	2.3141214088152	9.26727547539416	95.9	87.1549738895274	108.05	14.9682998366548	-2.675	9.93064767061518	-0.11578947368421	-0.598245614035088	2.10526315789474	4.2859649122807	2021-22	28	TOT	NBA	C	2	9.2	0.8	1.8	0.457	0.1	0.1	0.5	0.8	1.7	0.455	0.471	0.1	0.1	0.5	0.7	1.4	2	0.5	0.3	0.2	0.4	1	1.7	8.3	0.474	0.057	0.057	7.9	16.4	12.2	7.5	1.7	1.5	16.3	10.6	NA	0	0.3	0.2	0.066	NA	-4.1	1.1	-3	0
