Player	G	team	W	cor_WL_GmSc	cor_margin_GmSc	cor_WL_MP	cor_margin_MP	cor_WL_USG	cor_margin_USG	cor_WL_ORtg	cor_margin_ORtg	cor_WL_DRtg	cor_margin_DRtg	cor_WL_BPM	cor_margin_BPM	cor_GmSc_BPM	PTS_sd	MP_sd	GmSc	GmSc_sd	USG_sd	ORtg	ORtg_sd	DRtg	DRtg_sd	BPM_log	BPM_sd	GmSc_diff	MP_diff	GmSc_diff_abs	MP_diff_abs	Season	Age	Tm	Lg	Pos	GS	MP	FG	FGA	FG%	3P	3PA	3P%	2P	2PA	2P%	eFG%	FT	X1.x	FT%	ORB	DRB	TRB	X2.x	STL	BLK	TOV	PF	PTS	PER	TS%	3PAr	FTr	ORB%	DRB%	TRB%	AST%	STL%	BLK%	TOV%	USG%	X1.y	OWS	DWS	WS	WS/48	X2.y	OBPM	DBPM	BPM	VORP
Terrence Ross	63	ORL	14	0.0423750881134335	0.261717952975003	0.0341674432023151	0.260671005882857	-0.0580482076255561	-0.0313702966887653	0.115237591591737	0.297909263328833	-0.485828510919181	-0.695317652383991	0.119028644037896	0.315661871582818	0.906455733959087	7.4649548180299	6.54783077595264	6.24920634920635	6.54943664200983	7.67624393451252	95.4920634920635	33.1009565283645	117.555555555556	11.9444652829692	-5.06507936507936	8.60446543353074	-0.0338709677419354	-0.046236559139785	6.2241935483871	5.13548387096774	2021-22	30	ORL	NBA	SG	0	23	3.5	8.8	0.397	1.2	4.2	0.292	2.3	4.6	0.493	0.467	1.8	2.1	0.862	0.3	2.2	2.6	1.8	0.4	0.2	1.2	1.1	10	10	0.515	0.477	0.235	1.5	10.3	5.9	12.5	0.9	0.8	10.9	20.5	NA	-0.5	0.9	0.3	0.011	NA	-2.5	-1.1	-3.7	-0.6
Admiral Schofield	38	ORL	10	-0.0569043128832413	-0.00110982936020787	-0.163525465623698	-0.0438068370254643	-0.133470295466223	-0.229837995908739	-0.130930129682093	-0.116149506051724	-0.564798060199979	-0.713248754268395	-0.0156658723921904	-0.0891988583840905	0.778536286148701	3.25930116692648	7.73179594682246	2.37894736842105	3.07528578278567	7.63273999114368	82.8947368421053	67.5100751134286	117.236842105263	13.0144082535708	-7.60789473684211	10.1328841597062	0.137837837837838	0.261261261261261	3.88918918918919	6.34414414414414	2021-22	24	ORL	NBA	SF	1	12.3	1.4	3.4	0.419	0.7	2.1	0.329	0.7	1.3	0.56	0.519	0.3	0.4	0.8	0.4	1.9	2.3	0.7	0.1	0.1	0.6	1.5	3.8	7.5	0.538	0.612	0.116	3.8	16.3	10	7.9	0.4	1	13.4	14.5	NA	-0.1	0.3	0.3	0.027	NA	-4.2	-1.2	-5.4	-0.4
Jalen Suggs	48	ORL	16	-0.32032717985154	-0.152186294829911	-0.271989973130188	-0.120878763264126	-0.257229166893011	-0.187624927116263	-0.27968524418324	-0.108264964486696	-0.490474178426216	-0.574551608906888	-0.280939877741842	-0.174046163892614	0.874128307044588	5.2653019149256	6.05000630905766	6.77708333333333	5.73504492120393	5.0351741502558	85.3541666666667	22.1431412783679	111.895833333333	9.9557309131065	-6.45208333333333	9.1992365451805	0.112765957446809	-0.304255319148936	6.07021276595745	5.68439716312057	2021-22	20	ORL	NBA	PG	45	27.2	4.1	11.4	0.361	0.9	4.1	0.214	3.3	7.3	0.443	0.4	2.6	3.4	0.773	0.5	3	3.6	4.4	1.2	0.4	3	3	11.8	8.6	0.455	0.358	0.297	2.1	11.7	6.9	24.9	2.2	1.3	18.7	25.3	NA	-3	1.3	-1.6	-0.06	NA	-5.3	-0.2	-5.6	-1.2
Franz Wagner	79	ORL	21	0.0758909911170091	0.175046462056028	-0.0261930674358559	0.0958797101219887	0.0735157428113505	0.0705790068472291	0.117008064415205	0.21733169445416	-0.524777398645321	-0.603294903568396	0.112666375004602	0.144537878536627	0.718424124878266	6.88567559502117	5.95496179811002	11.3189873417722	6.46001659022572	6.10767019274797	108.73417721519	29.2244667696126	114.835443037975	12.0090034383896	-1.61392405063291	9.95435395239402	-0.137179487179487	-0.326495726495727	7.10384615384615	4.49786324786325	2021-22	20	ORL	NBA	SF	79	30.7	5.8	12.3	0.468	1.2	3.4	0.354	4.6	8.9	0.511	0.517	2.4	2.8	0.863	1.1	3.4	4.5	2.9	0.9	0.4	1.5	2.1	15.2	14.7	0.559	0.278	0.225	3.6	11.9	7.7	15.7	1.4	1.3	10	21.2	NA	2.1	1.9	4	0.079	NA	-0.4	-0.3	-0.7	0.8
Moritz Wagner	63	ORL	16	0.247333829155182	0.0824390226940081	0.0318337764607236	-0.204047426347592	0.128916779851228	0.006820654857185	0.337742061107104	0.299117868508931	-0.476519228524377	-0.574701164635231	0.300704322673829	0.299472425138921	0.669006769515348	6.3358391032962	7.52585320490996	6.77460317460317	5.8269111015315	8.5310762904109	116.190476190476	49.7337612151775	113.825396825397	13.284164332671	1.38571428571429	11.0543066653922	0.15	0.239516129032258	5.40806451612903	6.92177419354839	2021-22	24	ORL	NBA	C	3	15.2	3.1	6.3	0.497	1	3.2	0.328	2.1	3.1	0.672	0.581	1.7	2	0.806	0.7	3	3.7	1.4	0.3	0.2	0.9	2	9	18.1	0.623	0.508	0.326	4.6	21	12.8	15.4	1	1.2	11	22.9	NA	1.8	1	2.8	0.138	NA	1.5	0.1	1.6	0.9
Nickeil Alexander-Walker	65	NOP_UTA	29	-0.0974872537999849	-0.0914975640007952	-0.253874253939867	-0.28737985102648	-0.018097492841111	-0.146567224271291	0.0452636165505732	0.00234158622946061	-0.634842737565634	-0.740964455331729	-0.00230570449731618	-0.000251814921889456	0.750756816152115	7.30246270366796	9.42286529447949	6.36923076923077	6.24129201059672	8.105505607539	91.4923076923077	45.9772780420269	113.369230769231	14.7738887386341	-3.29846153846154	8.71993929715992	-0.2375	-0.442708333333333	6.453125	4.74895833333333	2021-22	23	TOT	NBA	SG	21	22.6	3.9	10.5	0.372	1.6	5.2	0.311	2.3	5.3	0.433	0.449	1.2	1.7	0.743	0.6	2.3	2.9	2.4	0.7	0.4	1.4	1.6	10.6	10.5	0.475	0.497	0.16	2.7	11.5	7.1	16.1	1.5	1.5	11.3	24.1	NA	-1.1	1.1	0.1	0.003	NA	-1.8	-1.1	-2.9	-0.3
Udoka Azubuike	17	UTA	11	0.56100735321761	0.377140986474784	0.396001973649073	0.182735225869479	-0.0120384327118421	0.0921785881841103	0.328636294356751	0.359773243178552	-0.811424903542861	-0.815698278440558	0.36728957150655	0.342246604185781	0.563420476376897	4.23917306031425	8.922566080311	4.33529411764706	4.00576790023938	9.11362102763189	109.764705882353	70.1075329509646	108.411764705882	14.9376153699704	-2.2	9.87984058575846	0.325	0.541666666666667	2.4375	5.12916666666667	2021-22	22	UTA	NBA	C	6	11.5	2.2	2.9	0.755	0	0	NA	2.2	2.9	0.755	0.755	0.4	0.6	0.545	1.1	3.1	4.2	0	0.1	0.6	0.7	1.5	4.7	17.6	0.743	0	0.224	10.5	28.8	19.9	0	0.3	5	18.2	14.7	NA	0.3	0.3	0.6	0.157	NA	-1.8	0.4	-1.4	0
Bojan Bogdanovic	69	UTA	45	0.269950610679447	0.414334825092644	-0.257052212031171	-0.426047827999288	0.0335781200041935	0.148945103317356	0.336685953156783	0.515707276762408	-0.517220526898802	-0.654720242035863	0.233084811214415	0.416450126880911	0.87961099059629	6.47333701205269	3.61240467464405	11.8652173913043	6.62716837071541	5.05642332877652	115.478260869565	27.1735212247967	114.927536231884	10.8889026625056	0.127536231884058	8.12190002505881	-0.0485294117647058	0.0566176470588235	7.43970588235294	3.65710784313726	2021-22	32	UTA	NBA	PF	69	30.9	6.1	13.4	.455	2.6	6.8	.387	3.5	6.7	.524	.552	3.2	3.8	.858	0.8	3.4	4.3	1.7	0.5	0.0	1.7	1.7	18.1	15.7	0.599	0.504	0.28	3.1	11.8	7.6	8.7	0.8	0	10.2	23.7	NA	3.6	1.6	5.2	0.118	NA	1.6	-1.6	0	1.1
Jared Butler	42	UTA	31	0.0269873911711883	0.249170465561336	-0.077435507255774	0.0329524424990071	-0.0811046725149975	-0.125692479804245	0.129410227575078	0.277770731787849	-0.440406799087538	-0.588155298087725	-0.0203030545242532	0.180607641948632	0.464959635035327	4.82835459862688	8.67120801085589	2.57380952380952	4.2891274639323	15.8037551220648	102.428571428571	74.8442750330744	106.119047619048	18.2559076718882	-0.45952380952381	24.7138951685455	0.278048780487805	0.332926829268293	4.48780487804878	7.10772357723577	2021-22	21	UTA	NBA	SG	1	8.6	1.5	3.6	0.404	0.7	2.1	0.318	0.8	1.5	0.524	0.497	0.3	0.4	0.688	0.1	1	1.1	1.5	0.4	0.2	0.8	1.1	3.8	12.1	0.509	0.583	0.106	1.6	11.8	6.8	26	2.3	2	17.3	23.1	NA	0	0.5	0.4	0.057	NA	-2.3	0.7	-1.6	0
Zylan Cheatham	1	UTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	NA	-2.1	NA	NA	0	NA	127	NA	-30.6	NA	NA	NA	NA	NA	2021-22	26	UTA	NBA	SF	0	5	0	3	0	0	2	0	0	1	0	0	0	0	NA	0	0	0	0	0	0	0	0	0	-23.8	0	0.667	0	0	0	0	0	0	0	0	26.1	NA	-0.1	0	-0.1	-0.61	NA	-19.3	-11.3	-30.6	0
Jordan Clarkson	79	UTA	47	0.275127935821768	0.285050567662842	-0.147041035908207	-0.159481474984144	-0.0235106557752452	-0.0723920282301516	0.350993564037758	0.398449578499517	-0.553905819248521	-0.689561952395961	0.265613042001138	0.302986179428453	0.8809669060752	6.45690781662694	4.49865029786784	10.0556962025316	6.52533026643181	4.9432015743452	106.936708860759	26.7621727741534	113.73417721519	12.2983309903287	-0.967088607594937	7.90909443289548	-0.0166666666666667	0.0247863247863248	7.52179487179487	4.53119658119658	2021-22	29	UTA	NBA	SG	1	27.1	5.9	14.1	0.419	2.4	7.6	0.318	3.5	6.5	0.535	0.504	1.8	2.2	0.828	0.8	2.6	3.5	2.5	0.8	0.2	1.6	1.9	16	14.9	0.532	0.536	0.156	3.5	10.2	7	14.5	1.5	0.7	9.8	26.8	NA	1.5	2	3.5	0.079	NA	0.5	-1.2	-0.6	0.7
