Player	G	raw_win_perc	min_win_perc	usg_win_perc	raw_rt_diff	min_rt_diff	usg_rt_diff	w_diff	l_diff
LeBron James	1366	0.654465592972182	0.646247674574711	0.643375804706731	16	11.8024395389425	11.727770922375	21	-5
Kevin Durant	939	0.625133120340788	0.619142832304616	0.611381201873689	15	10.4785708076154	10.2845300468422	20	-5
Damian Lillard	711	0.555555555555556	0.545387682421709	0.537668812995432	7	4.72546742538614	4.51705795087667	17	-10
John Wall	613	0.461663947797716	0.456302674972517	0.458088060298764	-5	-3.59243312568707	-3.54779849253089	10	-15
Andrew Wiggins	598	0.424749163879599	0.422860145204433	0.41706009692063	-16	-9.54279709591135	-9.65879806158739	2	-18
Bradley Beal	645	0.493023255813954	0.491435453653314	0.475203766407296	-5	-2.6798554732804	-3.02072090544679	8	-13
Russell Westbrook	1021	0.585700293829579	0.582853432700994	0.577566569432101	-2	0.822775519421862	0.706464527506216	10	-12
Joe Johnson	1277	0.519968676585748	0.512953250745999	0.51626171906223	-8	-3.68912198209603	-3.60971874250649	8	-16
James Harden	942	0.64968152866242	0.643814195922122	0.650563363928465	13	10.095354898053	10.2640840982116	19	-6
Chris Paul	1155	0.65021645021645	0.640330868529891	0.642263943968399	27	17.0082717132473	17.05659859921	26	1
Carmelo Anthony	1260	0.537301587301587	0.533242938891826	0.535743559786562	-7	-2.73541240548802	-2.67789812490909	8	-15
Anthony Davis	604	0.5	0.504013458303292	0.516290948259146	26	13.0802691660659	13.3258189651829	23	3
Stephen Curry	826	0.659806295399516	0.648460914636296	0.659577844396691	10	9.1569056098163	9.46817964310735	19	-9
DeMar DeRozan	957	0.520376175548589	0.520524550167734	0.532290010809084	-2	-0.54845989630985	-0.289619762200143	10	-12
Karl-Anthony Towns	482	0.443983402489627	0.440896120454132	0.44364197227511	20	8.81792240908263	8.8728394455022	20	0
Kyrie Irving	611	0.549918166939444	0.542129295842346	0.534559426735129	6	4.01110310021629	3.8294262416431	15	-9
Devin Booker	477	0.446540880503145	0.444748631159781	0.459418501884226	-10	-6.21553011448482	-5.89279295854703	6	-16
LaMarcus Aldridge	1076	0.587360594795539	0.589095524529551	0.602167472962465	7	5.37100601512058	5.64551693221176	14	-7
Paul George	737	0.602442333785617	0.592191415407	0.593077356936254	4	4.39697680058201	4.42001128034261	15	-11
Kemba Walker	741	0.431848852901485	0.439245894992905	0.440153313291658	2	-0.579606730184472	-0.5560138544169	14	-12
Jrue Holiday	839	0.499404052443385	0.499227091347018	0.494989868844878	-5	-2.51932271632455	-2.62525327887806	10	-15
Jimmy Butler	690	0.607246376811594	0.597515636618117	0.595413490830346	23	13.7428596422167	13.694510289098	23	0
Blake Griffin	724	0.580110497237569	0.573312059119919	0.571525516659379	6	4.61286530063823	4.57356136650633	14	-8
Klay Thompson	647	0.693972179289026	0.689018373196748	0.700986669861266	-14	-1.70748555049105	-1.37237324388457	7	-21
